Symbol,2018-04-02,2018-04-03,2018-04-04,2018-04-05,2018-04-06,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-30,2018-05-02,2018-05-03,2018-05-04,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-14,2018-06-15,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22
A005930,"2,427,000","2,406,000","2,346,000","2,437,000","2,420,000","2,460,000","2,444,000","2,443,000","2,450,000","2,490,000","2,517,000","2,499,000","2,568,000","2,639,000","2,581,000","2,595,000","2,523,000","2,520,000","2,607,000","2,650,000","2,650,000","2,650,000","2,650,000","51,900","52,600","50,900","51,600","51,300","50,100","49,200","49,850","49,400","49,500","50,000","51,800","51,400","52,700","52,300","51,300","49,500","50,700","51,300","51,100","51,300","50,600","49,650","49,900","49,400","48,200","47,650","46,600","47,000","47,000","47,050","47,250"
A000660,"81,300","81,800","80,400","82,900","80,300","80,600","80,400","81,200","84,000","84,200","84,000","82,800","84,600","87,900","84,400","84,400","82,100","82,400","86,500","87,100","84,500","83,100","82,900","83,000","83,500","83,400","85,800","86,100","85,400","84,600","87,000","86,700","87,900","89,100","95,300","94,600","95,200","94,500","94,800","95,000","93,400","91,400","89,800","91,000","90,900","88,400","89,200","88,400","86,300","87,000","84,000","84,100","87,800","88,500","89,500"
A068270,"304,000","299,000","294,000","295,000","292,000","306,000","303,000","298,000","298,500","290,000","295,500","290,000","284,500","266,500","269,000","250,500","248,500","251,000","257,000","276,500","271,000","259,000","262,000","250,000","236,000","259,000","259,000","260,000","255,000","268,000","268,500","267,500","270,000","270,000","257,500","264,500","275,000","271,000","270,500","269,500","265,500","273,500","266,500","267,000","271,000","269,500","267,500","273,000","280,000","298,500","305,000","287,500","297,000","292,000","295,500"
A005490,"327,500","325,000","317,500","318,500","319,000","313,000","324,500","326,500","321,500","327,500","325,000","333,000","349,500","355,000","349,500","350,000","354,000","359,000","358,500","351,000","372,500","372,500","360,500","367,500","359,000","350,500","359,500","358,000","371,000","370,500","363,000","360,000","360,500","361,000","352,500","357,000","346,000","354,000","349,000","342,000","339,500","339,500","352,500","352,500","368,000","360,000","372,000","366,000","369,500","365,000","356,000","340,000","342,500","339,000","343,500"
A005380,"148,500","152,000","156,500","154,000","152,500","151,000","151,000","150,000","152,000","150,500","153,000","157,500","158,500","158,000","160,000","159,500","162,500","164,000","156,500","158,000","160,000","160,000","160,000","158,000","156,000","153,500","152,000","153,000","151,000","148,500","150,500","149,500","150,000","149,000","144,500","140,000","139,000","138,500","140,000","137,500","139,000","140,000","143,000","142,500","142,500","141,000","139,500","140,500","135,000","134,000","135,000","131,500","129,500","127,000","130,000"
A207940,"486,000","485,500","503,000","502,000","519,000","562,000","583,000","584,000","565,000","570,000","567,000","551,000","539,000","507,000","506,000","473,000","474,000","478,500","498,500","506,000","488,000","404,000","390,000","359,500","370,500","398,000","389,500","386,500","368,500","388,500","414,000","398,000","408,500","410,000","399,500","418,000","430,500","429,000","433,000","425,500","435,000","451,500","419,000","421,000","420,000","421,000","420,000","429,500","408,000","408,000","407,500","381,000","420,000","415,000","437,500"
A051910,"387,500","378,500","376,000","383,500","379,000","376,000","368,000","367,000","378,000","373,000","365,000","368,500","376,000","376,000","372,500","372,500","374,500","352,500","353,500","354,500","360,000","339,000","343,000","341,000","330,500","339,500","340,000","345,000","354,500","348,500","342,000","345,500","344,000","338,500","343,500","345,000","352,500","352,000","343,500","330,500","338,500","337,000","363,000","363,500","368,500","375,500","377,000","380,500","370,000","373,500","366,500","349,500","353,500","349,500","343,000"
A035420,"785,000","785,000","754,000","779,000","770,000","774,000","775,000","771,000","757,000","764,000","751,000","748,000","752,000","738,000","728,000","735,000","725,000","743,000","725,000","716,000","716,000","738,000","727,000","717,000","731,000","727,000","720,000","717,000","717,000","711,000","700,000","697,000","688,000","682,000","684,000","680,000","685,000","680,000","668,000","652,000","669,000","680,000","673,000","674,000","680,000","701,000","711,000","717,000","707,000","690,000","694,000","688,000","689,000","699,000","723,000"
A051900,"1,251,000","1,274,000","1,263,000","1,282,000","1,255,000","1,264,000","1,305,000","1,266,000","1,249,000","1,276,000","1,277,000","1,306,000","1,300,000","1,276,000","1,278,000","1,267,000","1,267,000","1,223,000","1,256,000","1,297,000","1,370,000","1,390,000","1,312,000","1,304,000","1,293,000","1,331,000","1,309,000","1,313,000","1,290,000","1,277,000","1,287,000","1,269,000","1,268,000","1,264,000","1,246,000","1,310,000","1,320,000","1,328,000","1,337,000","1,338,000","1,343,000","1,385,000","1,362,000","1,381,000","1,420,000","1,392,000","1,398,000","1,437,000","1,441,000","1,423,000","1,436,000","1,409,000","1,479,000","1,449,000","1,480,000"
A105560,"59,500","57,800","57,600","58,100","58,300","56,600","58,600","58,500","59,200","59,900","59,800","59,000","58,900","60,000","60,500","60,800","61,300","60,500","60,100","59,900","61,200","60,700","60,300","59,200","58,400","58,200","58,000","58,200","58,200","57,300","57,600","57,600","56,400","55,900","55,400","56,000","55,400","55,100","54,600","52,400","51,800","52,300","54,400","55,000","56,100","56,000","57,400","56,900","56,000","55,000","55,500","55,100","55,100","52,700","52,900"
