Symbol,상장주식수(주),유동주식수(주),최대주주및특별관계자 보유주식수(보통)(주),최대주주및특별관계자 보유주식수(우선)(주),10%이상 보유주식수(보통)(주),10%이상 보유주식수(우선)(주),5%이상(10%미만)주주-세부주주수(Q),5%이상 10%미만 보유주식수(보통)(주),5%이상 10%미만 보유주식수(우선)(주)
A005930,"6,419,324,700","4,664,191,592","25,964,891","44,055",,,1,"12,705,979",
A000660,"728,002,365","559,899,161","146,102,634",,"72,818,475",,,,
A068270,"125,395,903","80,601,686","45,249,776",,,,,,
A005490,"87,186,835","70,597,604","9,660,885",,,,14,"5,421,650",
A005380,"220,276,479","142,768,497","62,198,509","10,396",,,48,"33,835,198",
A207940,"66,165,000","16,473,923","49,686,790",,,,,,
A051910,"70,592,343","46,671,638","23,560,910","1,727",,,1,"6,873,949","467,401"
A035420,"32,962,679","25,666,997","3,545,588",,,,14,"1,656,639",
A051900,"15,618,197","9,344,141","5,315,595","10,000",,,1,"960,619",
A105560,"418,111,537","356,088,126","40,204,583",,,,,,
A028260,"189,690,043","97,466,806","74,728,489",,,,2,"28,323,285",
A015760,"641,964,077","430,509,092","211,454,985",,"116,841,794",,1,"39,845,923",
A012330,"97,343,863","65,333,489","29,367,179",,,,1,"8,776,196",
A055550,"474,199,587","428,913,825","45,285,762",,,,14,"24,320,723",
A032830,"200,000,000","85,512,005","94,052,992",,,,3,"28,358,738",
A096770,"92,465,564","57,818,735","30,900,458",,,,1,"9,245,733","24,402"
A017670,"80,745,711","50,244,357","20,364,803",,,,1,"7,368,329",
A090430,"58,458,490","30,621,469","27,804,180","1,580,560",,,21,"10,204,098",
A034730,"70,360,297","34,099,269","21,725,088",,,,1,"5,911,981",
A018260,"77,377,800","33,409,194","43,926,986",,,,1,"3,894,872",
A091990,"140,516,224","46,381,172","95,151,179",,,,,,
A006400,"68,764,530","51,264,981","14,137,540","4,516",,,1,"6,322,205","95,054"
A033780,"137,292,497","113,073,753","12,482,705",,,,15,"24,072,248",
A066570,"163,647,814","107,772,586","55,106,660",204,,,1,"14,155,002","1,202,522"
A251270,"85,193,779","23,565,287","61,624,102",,,,,,
A086790,"300,242,062","271,790,410","28,451,652",,,,,,
A000270,"405,363,347","256,548,463","144,385,121",,,,1,"28,704,874",
A010950,"112,582,792","41,137,885","71,447,075","351,620",,,1,"6,830,669",
A000810,"47,374,837","31,060,884","8,766,846",720,,,1,"4,317,539",
A003550,"172,557,131","91,915,904","80,493,938",,,,1,"13,966,672",
A011170,"34,275,419","15,349,690","18,342,341",,,,1,"3,342,294",
A000030,"676,000,000","636,688,000","124,604,797",,,,3,"140,766,881",
A009150,"74,693,696","54,756,794","17,927,556","9,090","8,193,497","8,972",,,
