,,Name,상장주식수(주),최대주주등-대표주주명(Q),최대주주등-세부주주수(Q)(명),최대주주및특별관계자 보유주식수(보통)(주),최대주주및특별관계자 보유주식수(우선)(주),최대주주등-잠재주식수(Q),최대주주등-주권의 지분율(Q)(%),최대주주등-주식등 총지분율(Q)(%)
5930,,삼성전자,6419324700,이건희,9,25964891,44055,,20.11,20.11
660,,SK하이닉스,728002365,에스케이텔레콤(주),4,146102634,,298800,20.07,20.11
68270,,셀트리온,125395903,셀트리온홀딩스,62,45249776,,243214,36.89,37.01
5380,,현대차,220276479,현대모비스(주),6,62198509,10396,,28.24,28.24
5490,,POSCO,87186835,국민연금공단,1,9660885,,,11.08,11.08
207940,,삼성바이오로직스,66165000,삼성물산,5,49686790,,,75.1,75.1
51910,,LG화학,70592343,(주)엘지,5,23560910,1727,,33.38,33.38
28260,,삼성물산,189690043,이재용,13,74728489,,,39.4,39.4
105560,,KB금융,418111537,국민연금공단,1,40204583,,,9.62,9.62
12330,,현대모비스,97343863,기아자동차(주),4,29367179,,,30.17,30.17
35420,,NAVER,32962679,국민연금공단,1,3545588,,,10.76,10.76
55550,,신한지주,474199587,국민연금공단,1,45285762,,,9.55,9.55
15760,,한국전력,641964077,한국산업은행,2,211454985,,,32.94,32.94
32830,,삼성생명,200000000,이건희,6,94052992,,,47.03,47.03
34730,,SK,70360297,최태원,6,21725088,,124290,30.88,31.05
51900,,LG생활건강,15618197,(주)엘지,3,5315595,10000,,34.03,34.03
90430,,아모레퍼시픽,58458490,아모레퍼시픽그룹,4,27804180,1580560,,47.56,47.56
96770,,SK이노베이션,92465564,SK(주),3,30900458,,,33.42,33.42
17670,,SK텔레콤,80745711,SK(주),4,20364803,,66504,25.22,25.3
18260,,삼성에스디에스,77377800,삼성전자(주),9,43926986,,,56.77,56.77
66570,,LG전자,163647814,(주)엘지,3,55106660,204,,33.67,33.67
6400,,삼성SDI,68764530,삼성전자(주),7,14137540,4516,,20.56,20.56
91990,,셀트리온헬스케어,140516224,서정진,19,95151179,,1100351,69.28,70.08
33780,,KT&G,137292497,국민연금공단,1,12482705,,,9.09,9.09
3550,,LG,172557131,구본무,31,80493938,,,46.65,46.65
270,,기아차,405363347,현대자동차(주),5,144385121,,,35.62,35.62
86790,,하나금융지주,300242062,국민연금공단,1,28451652,,,9.61,9.61
251270,,넷마블,85163454,방준혁,21,61624102,,265639,72.48,72.79
11170,,롯데케미칼,34275419,롯데물산(주),4,18342341,,,53.51,53.51
10950,,S-Oil,112582792,"Aramco Overseas Company,B.V(A.O.C.B.V)",13,71447075,351620,,63.46,63.46
810,,삼성화재,47374837,삼성생명보험(주),5,8766846,720,,18.51,18.51
30,,우리은행,676000000,예금보험공사,1,124604797,,,18.43,18.43
2790,,아모레G,82458180,서경배,9,51087779,1258292,,61.96,61.96
9150,,삼성전기,74693696,삼성전자(주),6,17927556,9090,,24,24
24110,,기업은행,559978815,기획재정부,1,290109219,44847038,,51.81,51.81
35720,,카카오,76280122,김범수,35,27201764,,338665,40.06,40.56
9540,,현대중공업,69165426,현대로보틱스,15,20303682,,,35.83,35.83
10130,,고려아연,18870000,(주)영풍,47,9306868,,,49.32,49.32
36570,,엔씨소프트,21939022,국민연금공단,1,2662879,,,12.14,12.14
34220,,LG디스플레이,357815700,엘지전자(주),3,135660355,,,37.91,37.91
4020,,현대제철,133445785,기아자동차(주),11,48024548,,,35.99,35.99
139480,,이마트,27875819,이명희,4,7821597,,,28.06,28.06
30200,,KT,261111808,국민연금공단,1,28555130,,,10.94,10.94
